filename,label,sr,channels,duration_s,timestamp
rec_20251111T181444Z_000.wav,fan,32000,1,5.0,20251111T181444Z
rec_20251111T181450Z_001.wav,fan,32000,1,5.0,20251111T181450Z
rec_20251111T181456Z_002.wav,fan,32000,1,5.0,20251111T181456Z
rec_20251111T181502Z_003.wav,fan,32000,1,5.0,20251111T181502Z
rec_20251111T181508Z_004.wav,fan,32000,1,5.0,20251111T181508Z
rec_20251111T181514Z_005.wav,fan,32000,1,5.0,20251111T181514Z
rec_20251111T181520Z_006.wav,fan,32000,1,5.0,20251111T181520Z
rec_20251111T181526Z_007.wav,fan,32000,1,5.0,20251111T181526Z
rec_20251111T181532Z_008.wav,fan,32000,1,5.0,20251111T181532Z
rec_20251111T181539Z_009.wav,fan,32000,1,5.0,20251111T181539Z
