filename,label,sr,channels,duration_s,timestamp
rec_20251111T211503Z_000.wav,fan,32000,1,5.0,20251111T211503Z
rec_20251111T211509Z_001.wav,fan,32000,1,5.0,20251111T211509Z
rec_20251111T211515Z_002.wav,fan,32000,1,5.0,20251111T211515Z
rec_20251111T211521Z_003.wav,fan,32000,1,5.0,20251111T211521Z
rec_20251111T211528Z_004.wav,fan,32000,1,5.0,20251111T211528Z
rec_20251111T211746Z_000.wav,fan,32000,1,5.0,20251111T211746Z
rec_20251111T211753Z_001.wav,fan,32000,1,5.0,20251111T211753Z
rec_20251111T211759Z_002.wav,fan,32000,1,5.0,20251111T211759Z
rec_20251111T211805Z_003.wav,fan,32000,1,5.0,20251111T211805Z
rec_20251111T211811Z_004.wav,fan,32000,1,5.0,20251111T211811Z
rec_20251111T213201Z_000.wav,fan,32000,1,5.0,20251111T213201Z
rec_20251111T213207Z_001.wav,fan,32000,1,5.0,20251111T213207Z
rec_20251111T213214Z_002.wav,fan,32000,1,5.0,20251111T213214Z
rec_20251111T213220Z_003.wav,fan,32000,1,5.0,20251111T213220Z
rec_20251111T213226Z_004.wav,fan,32000,1,5.0,20251111T213226Z
